bus,generator,t,p_mw,lmp
Amsterdam,Ams_gas,16,-0.0,5.0
Amsterdam,Ams_wind,16,2702.5,5.0
Amsterdam,Ams_gas,17,-0.0,5.0
Amsterdam,Ams_wind,17,2837.5,5.0
Amsterdam,Ams_gas,18,-0.0,5.0
Amsterdam,Ams_wind,18,2950.0,5.0
Amsterdam,Ams_gas,19,-0.0,5.0
Amsterdam,Ams_wind,19,2905.0,5.0
Amsterdam,Ams_gas,20,-0.0,5.0
Amsterdam,Ams_wind,20,2792.5,5.0
Amsterdam,Ams_gas,21,-0.0,5.0
Amsterdam,Ams_wind,21,2612.5,5.0
Amsterdam,Ams_gas,22,-0.0,5.0
Amsterdam,Ams_wind,22,2730.3571428592354,5.0
Amsterdam,Ams_gas,23,-0.0,5.0
Amsterdam,Ams_wind,23,2985.3571428595656,5.0
Warsaw,War_coal,0,-0.0,17.74853801169231
Warsaw,War_gas,0,-0.0,17.74853801169231
Warsaw,War_coal,1,-0.0,17.74853801169231
Warsaw,War_gas,1,-0.0,17.74853801169231
Warsaw,War_coal,2,-0.0,17.874665017519433
Warsaw,War_gas,2,-0.0,17.874665017519433
Warsaw,War_coal,3,-0.0,17.874665017519433
Warsaw,War_gas,3,-0.0,17.874665017519433
Warsaw,War_coal,4,-0.0,17.874665017519433
Warsaw,War_gas,4,-0.0,17.874665017519433
Warsaw,War_coal,5,-0.0,17.74853801169231
Warsaw,War_gas,5,-0.0,17.74853801169231
Warsaw,War_coal,6,-0.0,15.555555555552882
Warsaw,War_gas,6,-0.0,15.555555555552882
Warsaw,War_coal,7,-0.0,15.555555555552882
Warsaw,War_gas,7,-0.0,15.555555555552882
Warsaw,War_coal,8,-0.0,16.310272536684934
Warsaw,War_gas,8,-0.0,16.310272536684934
Warsaw,War_coal,9,-0.0,16.310272536684934
Warsaw,War_gas,9,-0.0,16.310272536684934
Warsaw,War_coal,10,-0.0,23.067442988836568
Warsaw,War_gas,10,-0.0,23.067442988836568
Warsaw,War_coal,11,-0.0,16.310272536684934
Warsaw,War_gas,11,-0.0,16.310272536684934
Warsaw,War_coal,12,-0.0,16.310272536684934
Warsaw,War_gas,12,-0.0,16.310272536684934
Warsaw,War_coal,13,-0.0,16.310272536684934
Warsaw,War_gas,13,-0.0,16.310272536684934
Warsaw,War_coal,14,-0.0,16.310272536684934
Warsaw,War_gas,14,-0.0,16.310272536684934
Warsaw,War_coal,15,-0.0,16.310272536684934
Warsaw,War_gas,15,-0.0,16.310272536684934
Warsaw,War_coal,16,-0.0,16.310272536684934
Warsaw,War_gas,16,-0.0,16.310272536684934
Warsaw,War_coal,17,-0.0,23.067442988836568
Warsaw,War_gas,17,-0.0,23.067442988836568
Warsaw,War_coal,18,-0.0,23.067442988836568
Warsaw,War_gas,18,-0.0,23.067442988836568
Warsaw,War_coal,19,-0.0,23.067442988836568
Warsaw,War_gas,19,-0.0,23.067442988836568
Warsaw,War_coal,20,-0.0,23.067442988836568
Warsaw,War_gas,20,-0.0,23.067442988836568
Warsaw,War_coal,21,-0.0,16.310272536684934
Warsaw,War_gas,21,-0.0,16.310272536684934
Warsaw,War_coal,22,-0.0,15.555555555552882
Warsaw,War_gas,22,-0.0,15.555555555552882
Warsaw,War_coal,23,-0.0,17.74853801169231
Warsaw,War_gas,23,-0.0,17.74853801169231
Vienna,Vie_hydro,0,1651.7543859633233,10.0
Vienna,Vie_gas,0,-0.0,10.0
Vienna,Vie_hydro,1,1703.1578947350527,10.0
Vienna,Vie_gas,1,-0.0,10.0
Vienna,Vie_hydro,2,1607.272984951217,10.0
Vienna,Vie_gas,2,-0.0,10.0
Vienna,Vie_hydro,3,1435.434446505551,10.0
Vienna,Vie_gas,3,-0.0,10.0
Vienna,Vie_hydro,4,1607.272984951217,10.0
Vienna,Vie_gas,4,-0.0,10.0
Vienna,Vie_hydro,5,1651.7543859633233,10.0
Vienna,Vie_gas,5,-0.0,10.0
Vienna,Vie_hydro,6,1740.7103037288275,10.0
Vienna,Vie_gas,6,-0.0,10.0
Vienna,Vie_hydro,7,3020.6074586690593,10.0
Vienna,Vie_gas,7,-0.0,10.0
Vienna,Vie_hydro,8,3775.249475890591,10.0
Vienna,Vie_gas,8,-0.0,10.0
Vienna,Vie_hydro,9,3920.4559748423253,10.0
Vienna,Vie_gas,9,-0.0,10.0
Vienna,Vie_hydro,10,4000.0,12.52401746724901
Vienna,Vie_gas,10,-0.0,12.52401746724901
Vienna,Vie_hydro,11,3993.0592243181923,10.0
Vienna,Vie_gas,11,-0.0,10.0
Vienna,Vie_hydro,12,3920.4559748423253,10.0
Vienna,Vie_gas,12,-0.0,10.0
Vienna,Vie_hydro,13,3847.8527253664574,10.0
Vienna,Vie_gas,13,-0.0,10.0
Vienna,Vie_hydro,14,3775.249475890591,10.0
Vienna,Vie_gas,14,-0.0,10.0
Vienna,Vie_hydro,15,3702.646226414723,10.0
Vienna,Vie_gas,15,-0.0,10.0
Vienna,Vie_hydro,16,3847.8527253664574,10.0
Vienna,Vie_gas,16,-0.0,10.0
Vienna,Vie_hydro,17,4000.0,12.52401746724901
Vienna,Vie_gas,17,-0.0,12.52401746724901
Vienna,Vie_hydro,18,4000.0,12.52401746724901
Vienna,Vie_gas,18,-0.0,12.52401746724901
Vienna,Vie_hydro,19,4000.0,12.52401746724901
Vienna,Vie_gas,19,-0.0,12.52401746724901
Vienna,Vie_hydro,20,4000.0,12.52401746724901
Vienna,Vie_gas,20,-0.0,12.52401746724901
Vienna,Vie_hydro,21,3557.4397274629887,10.0
Vienna,Vie_gas,21,-0.0,10.0
Vienna,Vie_hydro,22,2380.658881198943,10.0
Vienna,Vie_gas,22,-0.0,10.0
Vienna,Vie_hydro,23,1566.0818713437754,10.0
Vienna,Vie_gas,23,-0.0,10.0
Stockholm,Sto_hydro,0,75.0,8.0
Stockholm,Sto_nuclear,0,-0.0,8.0
Stockholm,Sto_hydro,1,11.25,8.0
Stockholm,Sto_nuclear,1,-0.0,8.0
Stockholm,Sto_hydro,2,-0.0,5.0
Stockholm,Sto_nuclear,2,-0.0,5.0
Stockholm,Sto_hydro,3,-0.0,5.0
Stockholm,Sto_nuclear,3,-0.0,5.0
Stockholm,Sto_hydro,4,-0.0,5.0
Stockholm,Sto_nuclear,4,-0.0,5.0
Stockholm,Sto_hydro,5,75.0,8.0
Stockholm,Sto_nuclear,5,-0.0,8.0
Stockholm,Sto_hydro,6,287.5,8.0
Stockholm,Sto_nuclear,6,-0.0,8.0
Stockholm,Sto_hydro,7,500.0,8.0
Stockholm,Sto_nuclear,7,-0.0,8.0
Stockholm,Sto_hydro,8,670.0,8.0
Stockholm,Sto_nuclear,8,-0.0,8.0
Stockholm,Sto_hydro,9,712.5,8.0
Stockholm,Sto_nuclear,9,-0.0,8.0
Stockholm,Sto_hydro,10,755.0,8.0
Stockholm,Sto_nuclear,10,-0.0,8.0
Stockholm,Sto_hydro,11,733.75,8.0
Stockholm,Sto_nuclear,11,-0.0,8.0
Stockholm,Sto_hydro,12,712.5,8.0
Stockholm,Sto_nuclear,12,-0.0,8.0
Stockholm,Sto_hydro,13,691.25,8.0
Stockholm,Sto_nuclear,13,-0.0,8.0
Stockholm,Sto_hydro,14,670.0,8.0
Stockholm,Sto_nuclear,14,-0.0,8.0
Stockholm,Sto_hydro,15,648.75,8.0
Stockholm,Sto_nuclear,15,-0.0,8.0
Stockholm,Sto_hydro,16,691.25,8.0
Stockholm,Sto_nuclear,16,-0.0,8.0
Stockholm,Sto_hydro,17,818.75,8.0
Stockholm,Sto_nuclear,17,-0.0,8.0
Stockholm,Sto_hydro,18,925.0,8.0
Stockholm,Sto_nuclear,18,-0.0,8.0
Stockholm,Sto_hydro,19,882.5,8.0
Stockholm,Sto_nuclear,19,-0.0,8.0
Stockholm,Sto_hydro,20,776.25,8.0
Stockholm,Sto_nuclear,20,-0.0,8.0
Stockholm,Sto_hydro,21,606.25,8.0
Stockholm,Sto_nuclear,21,-0.0,8.0
Stockholm,Sto_hydro,22,393.75,8.0
Stockholm,Sto_nuclear,22,-0.0,8.0
Stockholm,Sto_hydro,23,181.25,8.0
Stockholm,Sto_nuclear,23,-0.0,8.0
Zurich,Zur_hydro,0,1033.245614036677,9.0
Zurich,Zur_nuclear,0,-0.0,9.0
Zurich,Zur_hydro,1,314.2587719316541,9.0
Zurich,Zur_nuclear,1,-0.0,9.0
Zurich,Zur_hydro,2,-0.0,8.942486085342807
Zurich,Zur_nuclear,2,-0.0,8.942486085342807
Zurich,Zur_hydro,3,-0.0,8.942486085342807
Zurich,Zur_nuclear,3,-0.0,8.942486085342807
Zurich,Zur_hydro,4,-0.0,8.942486085342807
Zurich,Zur_nuclear,4,-0.0,8.942486085342807
Zurich,Zur_hydro,5,1033.245614036677,9.0
Zurich,Zur_nuclear,5,-0.0,9.0
Zurich,Zur_hydro,6,3000.0,10.0
Zurich,Zur_nuclear,6,-0.0,10.0
Zurich,Zur_hydro,7,3000.0,10.0
Zurich,Zur_nuclear,7,-0.0,10.0
Zurich,Zur_hydro,8,3000.0,10.52830188679233
Zurich,Zur_nuclear,8,-0.0,10.52830188679233
Zurich,Zur_hydro,9,3000.0,10.52830188679233
Zurich,Zur_nuclear,9,-0.0,10.52830188679233
Zurich,Zur_hydro,10,3000.0,11.528384279475663
Zurich,Zur_nuclear,10,-0.0,11.528384279475663
Zurich,Zur_hydro,11,3000.0,10.52830188679233
Zurich,Zur_nuclear,11,-0.0,10.52830188679233
Zurich,Zur_hydro,12,3000.0,10.52830188679233
Zurich,Zur_nuclear,12,-0.0,10.52830188679233
Zurich,Zur_hydro,13,3000.0,10.52830188679233
Zurich,Zur_nuclear,13,-0.0,10.52830188679233
Zurich,Zur_hydro,14,3000.0,10.52830188679233
Zurich,Zur_nuclear,14,-0.0,10.52830188679233
Zurich,Zur_hydro,15,3000.0,10.52830188679233
Zurich,Zur_nuclear,15,-0.0,10.52830188679233
Zurich,Zur_hydro,16,3000.0,10.52830188679233
Zurich,Zur_nuclear,16,-0.0,10.52830188679233
Zurich,Zur_hydro,17,3000.0,11.528384279475663
Zurich,Zur_nuclear,17,-0.0,11.528384279475663
Zurich,Zur_hydro,18,3000.0,11.528384279475663
Zurich,Zur_nuclear,18,-0.0,11.528384279475663
Zurich,Zur_hydro,19,3000.0,11.528384279475663
Zurich,Zur_nuclear,19,-0.0,11.528384279475663
Zurich,Zur_hydro,20,3000.0,11.528384279475663
Zurich,Zur_nuclear,20,-0.0,11.528384279475663
Zurich,Zur_hydro,21,3000.0,10.52830188679233
Zurich,Zur_nuclear,21,-0.0,10.52830188679233
Zurich,Zur_hydro,22,3000.0,10.0
Zurich,Zur_nuclear,22,-0.0,10.0
Zurich,Zur_hydro,23,2231.5570175450466,9.0
Zurich,Zur_nuclear,23,-0.0,9.0
